"species_messy","island_messy","sex_messy","sample_id","file_name","notes"
"adelie","Torgersen	","M","PAL-535","2024-01-14_Torgersen	_adelie_PAL-535.csv","id=PAL-535; island=Torgersen	; sp=adelie; bill=39.1mm"
"adelie","Dream  ","f?","PAL-309","2024-01-21_Dream  _adelie_PAL-309.csv","id=PAL-309; island=Dream  ; sp=adelie; bill=36mm"
"adelie","Dream  ","M","PAL-639","2024-01-02_Dream  _adelie_PAL-639.csv","id=PAL-639; island=Dream  ; sp=adelie; bill=44.1mm"
"adelie","Dream  ","f?","PAL-670","2024-01-28_Dream  _adelie_PAL-670.csv","id=PAL-670; island=Dream  ; sp=adelie; bill=37mm"
"adelie","Dream  ","M","PAL-265","2024-01-25_Dream  _adelie_PAL-265.csv","id=PAL-265; island=Dream  ; sp=adelie; bill=39.6mm"
"adelie","Dream  ","M","PAL-621","2024-01-01_Dream  _adelie_PAL-621.csv","id=PAL-621; island=Dream  ; sp=adelie; bill=41.1mm"
"adelie","Dream  ",NA,"PAL-181","2024-01-17_Dream  _adelie_PAL-181.csv","id=PAL-181; island=Dream  ; sp=adelie; bill=37.5mm"
"adelie","Dream  ","f?","PAL-328","2024-01-11_Dream  _adelie_PAL-328.csv","id=PAL-328; island=Dream  ; sp=adelie; bill=36mm"
"adelie","Dream  ","M","PAL-381","2024-01-15_Dream  _adelie_PAL-381.csv","id=PAL-381; island=Dream  ; sp=adelie; bill=42.3mm"
"adelie","BIS-COE","f?","PAL-404","2024-01-21_BIS-COE_adelie_PAL-404.csv","id=PAL-404; island=BIS-COE; sp=adelie; bill=39.6mm"
"adelie","BIS-COE","M","PAL-489","2024-01-21_BIS-COE_adelie_PAL-489.csv","id=PAL-489; island=BIS-COE; sp=adelie; bill=40.1mm"
"adelie","BIS-COE","f?","PAL-559","2024-01-09_BIS-COE_adelie_PAL-559.csv","id=PAL-559; island=BIS-COE; sp=adelie; bill=35mm"
"adelie","BIS-COE","M","PAL-173","2024-01-16_BIS-COE_adelie_PAL-173.csv","id=PAL-173; island=BIS-COE; sp=adelie; bill=42mm"
"adelie","BIS-COE","f?","PAL-654","2024-01-24_BIS-COE_adelie_PAL-654.csv","id=PAL-654; island=BIS-COE; sp=adelie; bill=34.5mm"
"adelie","BIS-COE","M","PAL-822","2024-01-16_BIS-COE_adelie_PAL-822.csv","id=PAL-822; island=BIS-COE; sp=adelie; bill=41.4mm"
"adelie","BIS-COE","f?","PAL-909","2024-01-02_BIS-COE_adelie_PAL-909.csv","id=PAL-909; island=BIS-COE; sp=adelie; bill=39mm"
"adelie","BIS-COE","M","PAL-988","2024-01-16_BIS-COE_adelie_PAL-988.csv","id=PAL-988; island=BIS-COE; sp=adelie; bill=40.6mm"
"adelie","BIS-COE","f?","PAL-364","2024-01-11_BIS-COE_adelie_PAL-364.csv","id=PAL-364; island=BIS-COE; sp=adelie; bill=36.5mm"
"adelie","BIS-COE","M","PAL-594","2024-01-09_BIS-COE_adelie_PAL-594.csv","id=PAL-594; island=BIS-COE; sp=adelie; bill=37.6mm"
"adelie","BIS-COE","f?","PAL-588","2024-01-05_BIS-COE_adelie_PAL-588.csv","id=PAL-588; island=BIS-COE; sp=adelie; bill=35.7mm"
"adelie","BIS-COE","M","PAL-965","2024-01-27_BIS-COE_adelie_PAL-965.csv","id=PAL-965; island=BIS-COE; sp=adelie; bill=41.3mm"
"adelie","BIS-COE","f?","PAL-A93","2024-01-15_BIS-COE_adelie_PAL-A93.csv","id=PAL-A93; island=BIS-COE; sp=adelie; bill=37.6mm"
"adelie","BIS-COE","M","PAL-A87","2024-01-20_BIS-COE_adelie_PAL-A87.csv","id=PAL-A87; island=BIS-COE; sp=adelie; bill=41.1mm"
"adelie","BIS-COE","f?","PAL-A79","2024-01-23_BIS-COE_adelie_PAL-A79.csv","id=PAL-A79; island=BIS-COE; sp=adelie; bill=36.4mm"
"adelie","BIS-COE","M","PAL-A73","2024-01-10_BIS-COE_adelie_PAL-A73.csv","id=PAL-A73; island=BIS-COE; sp=adelie; bill=41.6mm"
"adelie","BIS-COE","f?","PAL-622","2024-01-22_BIS-COE_adelie_PAL-622.csv","id=PAL-622; island=BIS-COE; sp=adelie; bill=35.5mm"
"adelie","BIS-COE","M","PAL-843","2024-01-05_BIS-COE_adelie_PAL-843.csv","id=PAL-843; island=BIS-COE; sp=adelie; bill=41.1mm"
"adelie","Torgersen	","f?","PAL-263","2024-01-01_Torgersen	_adelie_PAL-263.csv","id=PAL-263; island=Torgersen	; sp=adelie; bill=35.9mm"
"adelie","Torgersen	","M","PAL-930","2024-01-16_Torgersen	_adelie_PAL-930.csv","id=PAL-930; island=Torgersen	; sp=adelie; bill=41.8mm"
"adelie","Torgersen	","f?","PAL-215","2024-01-02_Torgersen	_adelie_PAL-215.csv","id=PAL-215; island=Torgersen	; sp=adelie; bill=33.5mm"
"adelie","Torgersen	","M","PAL-436","2024-01-15_Torgersen	_adelie_PAL-436.csv","id=PAL-436; island=Torgersen	; sp=adelie; bill=39.7mm"
"adelie","Torgersen	","f?","PAL-171","2024-01-12_Torgersen	_adelie_PAL-171.csv","id=PAL-171; island=Torgersen	; sp=adelie; bill=39.6mm"
"adelie","Torgersen	","M","PAL-193","2024-01-07_Torgersen	_adelie_PAL-193.csv","id=PAL-193; island=Torgersen	; sp=adelie; bill=45.8mm"
"adelie","Torgersen	","f?","PAL-A13","2024-01-19_Torgersen	_adelie_PAL-A13.csv","id=PAL-A13; island=Torgersen	; sp=adelie; bill=35.5mm"
"adelie","Torgersen	","M","PAL-937","2024-01-06_Torgersen	_adelie_PAL-937.csv","id=PAL-937; island=Torgersen	; sp=adelie; bill=42.8mm"
"adelie","Torgersen	","f?","PAL-A83","2024-01-12_Torgersen	_adelie_PAL-A83.csv","id=PAL-A83; island=Torgersen	; sp=adelie; bill=40.9mm"
"adelie","Torgersen	","M","PAL-869","2024-01-01_Torgersen	_adelie_PAL-869.csv","id=PAL-869; island=Torgersen	; sp=adelie; bill=37.2mm"
"adelie","Torgersen	","f?","PAL-344","2024-01-19_Torgersen	_adelie_PAL-344.csv","id=PAL-344; island=Torgersen	; sp=adelie; bill=36.2mm"
"adelie","Torgersen	","M","PAL-698","2024-01-20_Torgersen	_adelie_PAL-698.csv","id=PAL-698; island=Torgersen	; sp=adelie; bill=42.1mm"
"adelie","Torgersen	","f?","PAL-140","2024-01-14_Torgersen	_adelie_PAL-140.csv","id=PAL-140; island=Torgersen	; sp=adelie; bill=34.6mm"
"adelie","Torgersen	","M","PAL-306","2024-01-19_Torgersen	_adelie_PAL-306.csv","id=PAL-306; island=Torgersen	; sp=adelie; bill=42.9mm"
"adelie","Torgersen	","f?","PAL-448","2024-01-26_Torgersen	_adelie_PAL-448.csv","id=PAL-448; island=Torgersen	; sp=adelie; bill=36.7mm"
"adelie","Torgersen	","M","PAL-A55","2024-01-04_Torgersen	_adelie_PAL-A55.csv","id=PAL-A55; island=Torgersen	; sp=adelie; bill=35.1mm"
"adelie","Dream  ","f?","PAL-673","2024-01-03_Dream  _adelie_PAL-673.csv","id=PAL-673; island=Dream  ; sp=adelie; bill=37.3mm"
"adelie","Dream  ","M","PAL-150","2024-01-22_Dream  _adelie_PAL-150.csv","id=PAL-150; island=Dream  ; sp=adelie; bill=41.3mm"
"adelie","Dream  ","M","PAL-568","2024-01-08_Dream  _adelie_PAL-568.csv","id=PAL-568; island=Dream  ; sp=adelie; bill=36.3mm"
"adelie","Dream  ","f?","PAL-421","2024-01-08_Dream  _adelie_PAL-421.csv","id=PAL-421; island=Dream  ; sp=adelie; bill=36.9mm"
"adelie","Dream  ","M","PAL-812","2024-01-02_Dream  _adelie_PAL-812.csv","id=PAL-812; island=Dream  ; sp=adelie; bill=38.3mm"
"adelie","Dream  ","f?","PAL-370","2024-01-14_Dream  _adelie_PAL-370.csv","id=PAL-370; island=Dream  ; sp=adelie; bill=38.9mm"
"adelie","Dream  ","f?","PAL-449","2024-01-08_Dream  _adelie_PAL-449.csv","id=PAL-449; island=Dream  ; sp=adelie; bill=35.7mm"
"adelie","Dream  ","M","PAL-242","2024-01-20_Dream  _adelie_PAL-242.csv","id=PAL-242; island=Dream  ; sp=adelie; bill=41.1mm"
"adelie","Dream  ","f?","PAL-729","2024-01-01_Dream  _adelie_PAL-729.csv","id=PAL-729; island=Dream  ; sp=adelie; bill=34mm"
"adelie","Dream  ","M","PAL-785","2024-01-24_Dream  _adelie_PAL-785.csv","id=PAL-785; island=Dream  ; sp=adelie; bill=39.6mm"
"adelie","Dream  ","f?","PAL-A86","2024-01-27_Dream  _adelie_PAL-A86.csv","id=PAL-A86; island=Dream  ; sp=adelie; bill=36.2mm"
"adelie","Dream  ","M","PAL-A15","2024-01-04_Dream  _adelie_PAL-A15.csv","id=PAL-A15; island=Dream  ; sp=adelie; bill=40.8mm"
"adelie","Dream  ","f?","PAL-620","2024-01-14_Dream  _adelie_PAL-620.csv","id=PAL-620; island=Dream  ; sp=adelie; bill=38.1mm"
"adelie","Dream  ","M","PAL-795","2024-01-15_Dream  _adelie_PAL-795.csv","id=PAL-795; island=Dream  ; sp=adelie; bill=40.3mm"
"adelie","Dream  ","f?","PAL-757","2024-01-08_Dream  _adelie_PAL-757.csv","id=PAL-757; island=Dream  ; sp=adelie; bill=33.1mm"
"adelie","Dream  ","M","PAL-517","2024-01-18_Dream  _adelie_PAL-517.csv","id=PAL-517; island=Dream  ; sp=adelie; bill=43.2mm"
"adelie","BIS-COE","f?","PAL-524","2024-01-19_BIS-COE_adelie_PAL-524.csv","id=PAL-524; island=BIS-COE; sp=adelie; bill=35mm"
"adelie","BIS-COE","M","PAL-423","2024-01-16_BIS-COE_adelie_PAL-423.csv","id=PAL-423; island=BIS-COE; sp=adelie; bill=41mm"
"adelie","BIS-COE","f?","PAL-903","2024-01-20_BIS-COE_adelie_PAL-903.csv","id=PAL-903; island=BIS-COE; sp=adelie; bill=37.7mm"
"adelie","BIS-COE","M","PAL-905","2024-01-11_BIS-COE_adelie_PAL-905.csv","id=PAL-905; island=BIS-COE; sp=adelie; bill=37.8mm"
"adelie","BIS-COE","f?","PAL-209","2024-01-28_BIS-COE_adelie_PAL-209.csv","id=PAL-209; island=BIS-COE; sp=adelie; bill=37.9mm"
"adelie","BIS-COE","M","PAL-759","2024-01-01_BIS-COE_adelie_PAL-759.csv","id=PAL-759; island=BIS-COE; sp=adelie; bill=39.7mm"
"adelie","BIS-COE","f?","PAL-141","2024-01-24_BIS-COE_adelie_PAL-141.csv","id=PAL-141; island=BIS-COE; sp=adelie; bill=38.6mm"
"adelie","BIS-COE","M","PAL-712","2024-01-10_BIS-COE_adelie_PAL-712.csv","id=PAL-712; island=BIS-COE; sp=adelie; bill=38.2mm"
"adelie","BIS-COE","f?","PAL-904","2024-01-24_BIS-COE_adelie_PAL-904.csv","id=PAL-904; island=BIS-COE; sp=adelie; bill=38.1mm"
"adelie","BIS-COE","M","PAL-853","2024-01-24_BIS-COE_adelie_PAL-853.csv","id=PAL-853; island=BIS-COE; sp=adelie; bill=43.2mm"
"adelie","BIS-COE","f?","PAL-572","2024-01-14_BIS-COE_adelie_PAL-572.csv","id=PAL-572; island=BIS-COE; sp=adelie; bill=38.1mm"
"adelie","BIS-COE","M","PAL-522","2024-01-15_BIS-COE_adelie_PAL-522.csv","id=PAL-522; island=BIS-COE; sp=adelie; bill=45.6mm"
"adelie","BIS-COE","f?","PAL-312","2024-01-22_BIS-COE_adelie_PAL-312.csv","id=PAL-312; island=BIS-COE; sp=adelie; bill=39.7mm"
"adelie","BIS-COE","M","PAL-681","2024-01-03_BIS-COE_adelie_PAL-681.csv","id=PAL-681; island=BIS-COE; sp=adelie; bill=42.2mm"
"adelie","BIS-COE","f?","PAL-275","2024-01-07_BIS-COE_adelie_PAL-275.csv","id=PAL-275; island=BIS-COE; sp=adelie; bill=39.6mm"
"adelie","BIS-COE","M","PAL-477","2024-01-02_BIS-COE_adelie_PAL-477.csv","id=PAL-477; island=BIS-COE; sp=adelie; bill=42.7mm"
"adelie","Torgersen	","f?","PAL-532","2024-01-25_Torgersen	_adelie_PAL-532.csv","id=PAL-532; island=Torgersen	; sp=adelie; bill=38.6mm"
"adelie","Torgersen	","M","PAL-288","2024-01-15_Torgersen	_adelie_PAL-288.csv","id=PAL-288; island=Torgersen	; sp=adelie; bill=37.3mm"
"adelie","Torgersen	","f?","PAL-486","2024-01-09_Torgersen	_adelie_PAL-486.csv","id=PAL-486; island=Torgersen	; sp=adelie; bill=35.7mm"
"adelie","Torgersen	","M","PAL-360","2024-01-22_Torgersen	_adelie_PAL-360.csv","id=PAL-360; island=Torgersen	; sp=adelie; bill=41.1mm"
"adelie","Torgersen	","f?","PAL-284","2024-01-15_Torgersen	_adelie_PAL-284.csv","id=PAL-284; island=Torgersen	; sp=adelie; bill=36.2mm"
"adelie","Torgersen	","M","PAL-155","2024-01-10_Torgersen	_adelie_PAL-155.csv","id=PAL-155; island=Torgersen	; sp=adelie; bill=37.7mm"
"adelie","Torgersen	","f?","PAL-A76","2024-01-23_Torgersen	_adelie_PAL-A76.csv","id=PAL-A76; island=Torgersen	; sp=adelie; bill=40.2mm"
"adelie","Torgersen	","M","PAL-624","2024-01-16_Torgersen	_adelie_PAL-624.csv","id=PAL-624; island=Torgersen	; sp=adelie; bill=41.4mm"
"adelie","Torgersen	","f?","PAL-A9A","2024-01-24_Torgersen	_adelie_PAL-A9A.csv","id=PAL-A9A; island=Torgersen	; sp=adelie; bill=35.2mm"
"adelie","Torgersen	","M","PAL-913","2024-01-01_Torgersen	_adelie_PAL-913.csv","id=PAL-913; island=Torgersen	; sp=adelie; bill=40.6mm"
"adelie","Torgersen	","f?","PAL-219","2024-01-09_Torgersen	_adelie_PAL-219.csv","id=PAL-219; island=Torgersen	; sp=adelie; bill=38.8mm"
"adelie","Torgersen	","M","PAL-656","2024-01-16_Torgersen	_adelie_PAL-656.csv","id=PAL-656; island=Torgersen	; sp=adelie; bill=41.5mm"
"adelie","Torgersen	","f?","PAL-218","2024-01-05_Torgersen	_adelie_PAL-218.csv","id=PAL-218; island=Torgersen	; sp=adelie; bill=39mm"
"adelie","Torgersen	","M","PAL-832","2024-01-02_Torgersen	_adelie_PAL-832.csv","id=PAL-832; island=Torgersen	; sp=adelie; bill=44.1mm"
"adelie","Torgersen	","f?","PAL-801","2024-01-21_Torgersen	_adelie_PAL-801.csv","id=PAL-801; island=Torgersen	; sp=adelie; bill=38.5mm"
"adelie","Torgersen	","M","PAL-788","2024-01-27_Torgersen	_adelie_PAL-788.csv","id=PAL-788; island=Torgersen	; sp=adelie; bill=43.1mm"
"adelie","Dream  ","f?","PAL-A24","2024-01-02_Dream  _adelie_PAL-A24.csv","id=PAL-A24; island=Dream  ; sp=adelie; bill=36.8mm"
"adelie","Dream  ","M","PAL-915","2024-01-24_Dream  _adelie_PAL-915.csv","id=PAL-915; island=Dream  ; sp=adelie; bill=37.5mm"
"adelie","Dream  ","f?","PAL-176","2024-01-19_Dream  _adelie_PAL-176.csv","id=PAL-176; island=Dream  ; sp=adelie; bill=38.1mm"
"adelie","Dream  ","M","PAL-416","2024-01-01_Dream  _adelie_PAL-416.csv","id=PAL-416; island=Dream  ; sp=adelie; bill=41.1mm"
"adelie","Dream  ","f?","PAL-824","2024-01-13_Dream  _adelie_PAL-824.csv","id=PAL-824; island=Dream  ; sp=adelie; bill=35.6mm"
"adelie","Dream  ","M","PAL-184","2024-01-06_Dream  _adelie_PAL-184.csv","id=PAL-184; island=Dream  ; sp=adelie; bill=40.2mm"
"adelie","Dream  ","f?","PAL-609","2024-01-11_Dream  _adelie_PAL-609.csv","id=PAL-609; island=Dream  ; sp=adelie; bill=37mm"
"adelie","Dream  ","M","PAL-877","2024-01-18_Dream  _adelie_PAL-877.csv","id=PAL-877; island=Dream  ; sp=adelie; bill=39.7mm"
"adelie","Dream  ","f?","PAL-998","2024-01-03_Dream  _adelie_PAL-998.csv","id=PAL-998; island=Dream  ; sp=adelie; bill=40.2mm"
"adelie","Dream  ","M","PAL-817","2024-01-11_Dream  _adelie_PAL-817.csv","id=PAL-817; island=Dream  ; sp=adelie; bill=40.6mm"
"adelie","Dream  ","f?","PAL-743","2024-01-05_Dream  _adelie_PAL-743.csv","id=PAL-743; island=Dream  ; sp=adelie; bill=32.1mm"
"adelie","Dream  ","M","PAL-451","2024-01-17_Dream  _adelie_PAL-451.csv","id=PAL-451; island=Dream  ; sp=adelie; bill=40.7mm"
"adelie","Dream  ","f?","PAL-385","2024-01-28_Dream  _adelie_PAL-385.csv","id=PAL-385; island=Dream  ; sp=adelie; bill=37.3mm"
"adelie","Dream  ","M","PAL-267","2024-01-18_Dream  _adelie_PAL-267.csv","id=PAL-267; island=Dream  ; sp=adelie; bill=39mm"
"adelie","Dream  ","M","PAL-203","2024-01-20_Dream  _adelie_PAL-203.csv","id=PAL-203; island=Dream  ; sp=adelie; bill=39.2mm"
"adelie","Dream  ","f?","PAL-974","2024-01-05_Dream  _adelie_PAL-974.csv","id=PAL-974; island=Dream  ; sp=adelie; bill=36.6mm"
"adelie","Dream  ","f?","PAL-577","2024-01-17_Dream  _adelie_PAL-577.csv","id=PAL-577; island=Dream  ; sp=adelie; bill=36mm"
"adelie","Dream  ","M","PAL-A34","2024-01-21_Dream  _adelie_PAL-A34.csv","id=PAL-A34; island=Dream  ; sp=adelie; bill=37.8mm"
"adelie","Dream  ","f?","PAL-663","2024-01-16_Dream  _adelie_PAL-663.csv","id=PAL-663; island=Dream  ; sp=adelie; bill=36mm"
"adelie","Dream  ","M","PAL-523","2024-01-20_Dream  _adelie_PAL-523.csv","id=PAL-523; island=Dream  ; sp=adelie; bill=41.5mm"
"gentoo","BIS-COE","f?","PAL-791","2024-01-11_BIS-COE_gentoo_PAL-791.csv","id=PAL-791; island=BIS-COE; sp=gentoo; bill=46.1mm"
"gentoo","BIS-COE","M","PAL-330","2024-01-06_BIS-COE_gentoo_PAL-330.csv","id=PAL-330; island=BIS-COE; sp=gentoo; bill=50mm"
"gentoo","BIS-COE","f?","PAL-264","2024-01-09_BIS-COE_gentoo_PAL-264.csv","id=PAL-264; island=BIS-COE; sp=gentoo; bill=48.7mm"
"gentoo","BIS-COE","M","PAL-579","2024-01-23_BIS-COE_gentoo_PAL-579.csv","id=PAL-579; island=BIS-COE; sp=gentoo; bill=50mm"
"gentoo","BIS-COE","M","PAL-A51","2024-01-18_BIS-COE_gentoo_PAL-A51.csv","id=PAL-A51; island=BIS-COE; sp=gentoo; bill=47.6mm"
"gentoo","BIS-COE","f?","PAL-A57","2024-01-16_BIS-COE_gentoo_PAL-A57.csv","id=PAL-A57; island=BIS-COE; sp=gentoo; bill=46.5mm"
"gentoo","BIS-COE","f?","PAL-711","2024-01-27_BIS-COE_gentoo_PAL-711.csv","id=PAL-711; island=BIS-COE; sp=gentoo; bill=45.4mm"
"gentoo","BIS-COE","M","PAL-411","2024-01-04_BIS-COE_gentoo_PAL-411.csv","id=PAL-411; island=BIS-COE; sp=gentoo; bill=46.7mm"
"gentoo","BIS-COE","f?","PAL-983","2024-01-14_BIS-COE_gentoo_PAL-983.csv","id=PAL-983; island=BIS-COE; sp=gentoo; bill=43.3mm"
"gentoo","BIS-COE","M","PAL-696","2024-01-13_BIS-COE_gentoo_PAL-696.csv","id=PAL-696; island=BIS-COE; sp=gentoo; bill=46.8mm"
"gentoo","BIS-COE","f?","PAL-237","2024-01-14_BIS-COE_gentoo_PAL-237.csv","id=PAL-237; island=BIS-COE; sp=gentoo; bill=40.9mm"
"gentoo","BIS-COE","M","PAL-963","2024-01-03_BIS-COE_gentoo_PAL-963.csv","id=PAL-963; island=BIS-COE; sp=gentoo; bill=49mm"
"gentoo","BIS-COE","f?","PAL-917","2024-01-15_BIS-COE_gentoo_PAL-917.csv","id=PAL-917; island=BIS-COE; sp=gentoo; bill=45.5mm"
"gentoo","BIS-COE","M","PAL-465","2024-01-18_BIS-COE_gentoo_PAL-465.csv","id=PAL-465; island=BIS-COE; sp=gentoo; bill=48.4mm"
"gentoo","BIS-COE","f?","PAL-220","2024-01-23_BIS-COE_gentoo_PAL-220.csv","id=PAL-220; island=BIS-COE; sp=gentoo; bill=45.8mm"
"gentoo","BIS-COE","M","PAL-487","2024-01-13_BIS-COE_gentoo_PAL-487.csv","id=PAL-487; island=BIS-COE; sp=gentoo; bill=49.3mm"
"gentoo","BIS-COE","f?","PAL-343","2024-01-22_BIS-COE_gentoo_PAL-343.csv","id=PAL-343; island=BIS-COE; sp=gentoo; bill=42mm"
"gentoo","BIS-COE","M","PAL-602","2024-01-14_BIS-COE_gentoo_PAL-602.csv","id=PAL-602; island=BIS-COE; sp=gentoo; bill=49.2mm"
"gentoo","BIS-COE","f?","PAL-582","2024-01-27_BIS-COE_gentoo_PAL-582.csv","id=PAL-582; island=BIS-COE; sp=gentoo; bill=46.2mm"
